,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
=======
﻿15 Urban and rural areas,,,,,,,,,,,,,,,,
Table of contents,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
This worksheet contains seven tables.,,,,,,,,,,,,,,,,
Estimates for 2018-21 to 2020-23 are two-year averages due to the impact of the pandemic on the survey. See README for more information.,,,,,,,,,,,,,,,,
Note: Information on urban/rural class is not available prior to 2006.,,,,,,,,,,,,,,,,
Source: Scottish Government analysis of the Family Resources Survey,,,,,,,,,,,,,,,,
"15a Relative poverty rate: Proportion of people in each category who are in relative poverty (below 60% of UK median income after housing costs), Scotland",,,,,,,,,,,,,,,,
Group,2006-09,2007-10,2008-11,2009-12,2010-13,2011-14,2012-15,2013-16,2014-17,2015-18,2016-19,2017-20,2018-21,2019-22,2020-23,2021-24
All,19%,19%,18%,18%,18%,18%,18%,18%,19%,20%,19%,19%,19%,21%,21%,20%
Urban,20%,20%,19%,18%,19%,19%,20%,20%,20%,21%,20%,20%,20%,21%,22%,21%
Rural,15%,14%,14%,14%,14%,13%,13%,14%,14%,15%,16%,17%,18%,18%,15%,17%
"15b Composition of those in relative poverty: Proportion of people in relative poverty (below 60% of UK median income after housing costs) who are in each category, Scotland",,,,,,,,,,,,,,,,
Group,2006-09,2007-10,2008-11,2009-12,2010-13,2011-14,2012-15,2013-16,2014-17,2015-18,2016-19,2017-20,2018-21,2019-22,2020-23,2021-24
All,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Urban,83%,84%,85%,85%,84%,85%,84%,84%,83%,83%,83%,80%,79%,80%,83%,79%
Rural,17%,16%,15%,15%,16%,15%,16%,16%,17%,17%,17%,20%,21%,20%,17%,21%
"15c Numbers in relative poverty: Number of people in each category who are in relative poverty (below 60% of UK median income after housing costs), Scotland",,,,,,,,,,,,,,,,
Group,2006-09,2007-10,2008-11,2009-12,2010-13,2011-14,2012-15,2013-16,2014-17,2015-18,2016-19,2017-20,2018-21,2019-22,2020-23,2021-24
All,"950,000","960,000","940,000","910,000","920,000","930,000","950,000","970,000","1,000,000","1,040,000","1,020,000","1,030,000","1,030,000","1,110,000","1,110,000","1,070,000"
Urban,"790,000","810,000","800,000","770,000","770,000","790,000","800,000","810,000","830,000","860,000","850,000","830,000","820,000","880,000","920,000","840,000"
Rural,"160,000","150,000","150,000","140,000","150,000","140,000","150,000","160,000","170,000","170,000","170,000","200,000","220,000","220,000","190,000","220,000"
"15d Severe poverty rate: Proportion of people in each category who are in severe poverty (below 50% of UK median income after housing costs), Scotland",,,,,,,,,,,,,,,,
Group,2006-09,2007-10,2008-11,2009-12,2010-13,2011-14,2012-15,2013-16,2014-17,2015-18,2016-19,2017-20,2018-21,2019-22,2020-23,2021-24
All,13%,13%,12%,12%,12%,12%,12%,12%,13%,14%,14%,14%,14%,15%,14%,13%
Urban,14%,14%,13%,12%,12%,13%,13%,13%,14%,15%,14%,15%,14%,16%,16%,14%
Rural,9%,9%,9%,9%,9%,9%,9%,9%,10%,11%,11%,13%,13%,12%,9%,10%
"15e Composition of those in severe poverty: Proportion of people in severe poverty (below 50% of UK median income after housing costs) who are in each category, Scotland",,,,,,,,,,,,,,,,
Group,2006-09,2007-10,2008-11,2009-12,2010-13,2011-14,2012-15,2013-16,2014-17,2015-18,2016-19,2017-20,2018-21,2019-22,2020-23,2021-24
All,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Urban,84%,85%,85%,85%,84%,84%,84%,84%,84%,84%,83%,81%,79%,82%,85%,81%
Rural,16%,15%,15%,15%,16%,16%,16%,16%,16%,16%,17%,19%,21%,18%,15%,19%
"15f Numbers in severe poverty: Number of people in each category who are in severe poverty (below 50% of UK median income after housing costs), Scotland",,,,,,,,,,,,,,,,
Group,2006-09,2007-10,2008-11,2009-12,2010-13,2011-14,2012-15,2013-16,2014-17,2015-18,2016-19,2017-20,2018-21,2019-22,2020-23,2021-24
All,"640,000","660,000","640,000","600,000","610,000","620,000","650,000","650,000","680,000","730,000","730,000","760,000","750,000","810,000","760,000","710,000"
Urban,"540,000","560,000","540,000","510,000","510,000","520,000","550,000","550,000","570,000","610,000","600,000","610,000","590,000","670,000","650,000","580,000"
Rural,"100,000","100,000","90,000","90,000","100,000","100,000","100,000","100,000","110,000","120,000","130,000","150,000","160,000","150,000",[u],"130,000"
"15g Sample size: Number of families in each category in the combined three-year survey sample, Scotland",,,,,,,,,,,,,,,,
Group,2006-09,2007-10,2008-11,2009-12,2010-13,2011-14,2012-15,2013-16,2014-17,2015-18,2016-19,2017-20,2018-21,2019-22,2020-23,2021-24
All,"14,739","14,686","14,442","13,385","12,152","10,750","10,277","9,795","9,596","9,369","9,521","9,346","6,239","5,061","4,236","6,059"
Urban,"11,753","11,826","11,701","10,869","9,795","8,703","8,170","7,746","7,601","7,476","7,636","7,378","4,913","3,919","3,232","4,641"
Rural,"2,979","2,855","2,740","2,513","2,354","2,044","2,107","2,049","1,995","1,893","1,885","1,966","1,324","1,140","1,004","1,418"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
>>>>>>> a88732c399431e9b684a6e02de83638eef2a8ee4
