Any disrepair to critical elements and any urgent disrepair,Urban-Rural Indicator [note 4],Rural,23%,21%,[x],[x],22%,21%,,Any disrepair to critical elements and any urgent disrepair,Urban-Rural Indicator [note 4],Rural, 94 , 87 , [x] , [x] , 92 , 88 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any disrepair to critical elements and any urgent disrepair,All dwellings,All dwellings,26%,24%,[x],[x],22%,20%,,Any disrepair to critical elements and any urgent disrepair,All dwellings,All dwellings, 650 , 584 , [x] , [x] , 555 , 507 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any disrepair to critical elements, any urgent and any extensive disrepair ",Dwelling Age,pre-1919,7%,4%,[x],[x],5%,4%,,"Any disrepair to critical elements, any urgent and any extensive disrepair ",Dwelling Age,pre-1919, 34 , 20 , [x] , [x] , 25 , 18 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any disrepair to critical elements, any urgent and any extensive disrepair ",Dwelling Age,1919-1944,2%,4%,[x],[x],3%,2%,,"Any disrepair to critical elements, any urgent and any extensive disrepair ",Dwelling Age,1919-1944, 7 , 11 , [x] , [x] , 10 , 5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any disrepair to critical elements, any urgent and any extensive disrepair ",Dwelling Age,1945-1964,5%,3%,[x],[x],5%,3%,,"Any disrepair to critical elements, any urgent and any extensive disrepair ",Dwelling Age,1945-1964, 28 , 17 , [x] , [x] , 24 , 16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any disrepair to critical elements, any urgent and any extensive disrepair ",Dwelling Age,1965-1982,3%,4%,[x],[x],1%,3%,,"Any disrepair to critical elements, any urgent and any extensive disrepair ",Dwelling Age,1965-1982, 14 , 23 , [x] , [x] , 7 , 16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any disrepair to critical elements, any urgent and any extensive disrepair ",Dwelling Age,post-1982,1%,1%,[x],[x],[c],[c],,"Any disrepair to critical elements, any urgent and any extensive disrepair ",Dwelling Age,post-1982, 8 , 4 , [x] , [x] , [c] , 5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any disrepair to critical elements, any urgent and any extensive disrepair ",Urban-Rural Indicator [note 4],Urban,4%,3%,[x],[x],3%,2%,,"Any disrepair to critical elements, any urgent and any extensive disrepair ",Urban-Rural Indicator [note 4],Urban, 76 , 63 , [x] , [x] , 55 , 47 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any disrepair to critical elements, any urgent and any extensive disrepair ",Urban-Rural Indicator [note 4],Rural,4%,3%,[x],[x],3%,3%,,"Any disrepair to critical elements, any urgent and any extensive disrepair ",Urban-Rural Indicator [note 4],Rural, 15 , 12 , [x] , [x] , 12 , 13 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any disrepair to critical elements, any urgent and any extensive disrepair ",All dwellings,All dwellings,4%,3%,[x],[x],3%,2%,,"Any disrepair to critical elements, any urgent and any extensive disrepair ",All dwellings,All dwellings, 91 , 76 , [x] , [x] , 67 , 61 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urgent disrepair to one or more critical elements,Dwelling Age,pre-1919,31%,32%,[x],[x],27%,28%,,Urgent disrepair to one or more critical elements,Dwelling Age,pre-1919, 143 , 151 , [x] , [x] , 125 , 130 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urgent disrepair to one or more critical elements,Dwelling Age,1919-1944,26%,24%,[x],[x],25%,20%,,Urgent disrepair to one or more critical elements,Dwelling Age,1919-1944, 73 , 65 , [x] , [x] , 70 , 51 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urgent disrepair to one or more critical elements,Dwelling Age,1945-1964,26%,22%,[x],[x],21%,18%,,Urgent disrepair to one or more critical elements,Dwelling Age,1945-1964, 136 , 112 , [x] , [x] , 109 , 92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urgent disrepair to one or more critical elements,Dwelling Age,1965-1982,15%,15%,[x],[x],16%,16%,,Urgent disrepair to one or more critical elements,Dwelling Age,1965-1982, 79 , 79 , [x] , [x] , 92 , 89 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urgent disrepair to one or more critical elements,Dwelling Age,post-1982,8%,9%,[x],[x],8%,6%,,Urgent disrepair to one or more critical elements,Dwelling Age,post-1982, 56 , 61 , [x] , [x] , 53 , 48 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urgent disrepair to one or more critical elements,Urban-Rural Indicator [note 4],Urban,20%,19%,[x],[x],17%,16%,,Urgent disrepair to one or more critical elements,Urban-Rural Indicator [note 4],Urban, 405 , 393 , [x] , [x] , 362 , 329 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urgent disrepair to one or more critical elements,Urban-Rural Indicator [note 4],Rural,20%,18%,[x],[x],20%,19%,,Urgent disrepair to one or more critical elements,Urban-Rural Indicator [note 4],Rural, 81 , 75 , [x] , [x] , 86 , 81 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urgent disrepair to one or more critical elements,All dwellings,All dwellings,20%,19%,[x],[x],18%,16%,,Urgent disrepair to one or more critical elements,All dwellings,All dwellings, 486 , 469 , [x] , [x] , 448 , 410 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extensive disrepair to one or more critical elements,Dwelling Age,pre-1919,3%,2%,[x],[x],3%,4%,,Extensive disrepair to one or more critical elements,Dwelling Age,pre-1919, 12 , 10 , [x] , [x] , 16 , 18 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extensive disrepair to one or more critical elements,Dwelling Age,1919-1944,[c],1%,[x],[x],2%,1%,,Extensive disrepair to one or more critical elements,Dwelling Age,1919-1944, 2 , 3 , [x] , [x] , 7 , 2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extensive disrepair to one or more critical elements,Dwelling Age,1945-1964,1%,2%,[x],[x],3%,2%,,Extensive disrepair to one or more critical elements,Dwelling Age,1945-1964, 5 , 8 , [x] , [x] , 18 , 11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extensive disrepair to one or more critical elements,Dwelling Age,1965-1982,1%,1%,[x],[x],3%,2%,,Extensive disrepair to one or more critical elements,Dwelling Age,1965-1982, 5 , 6 , [x] , [x] , 18 , 10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extensive disrepair to one or more critical elements,Dwelling Age,post-1982,1%,[w],[x],[x],2%,1%,,Extensive disrepair to one or more critical elements,Dwelling Age,post-1982, 4 , [w] , [x] , [x] , 12 , 5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extensive disrepair to one or more critical elements,Urban-Rural Indicator [note 4],Urban,1%,1%,[x],[x],3%,2%,,Extensive disrepair to one or more critical elements,Urban-Rural Indicator [note 4],Urban, 19 , 22 , [x] , [x] , 60 , 38 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extensive disrepair to one or more critical elements,Urban-Rural Indicator [note 4],Rural,3%,1%,[x],[x],2%,2%,,Extensive disrepair to one or more critical elements,Urban-Rural Indicator [note 4],Rural, 11 , 6 , [x] , [x] , 9 , 10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extensive disrepair to one or more critical elements,All dwellings,All dwellings,1%,1%,[x],[x],3%,2%,,Extensive disrepair to one or more critical elements,All dwellings,All dwellings, 30 , 28 , [x] , [x] , 70 , 47 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=======
"Table HC4a and HC4b: Disrepair to critical elements by dwelling age and location, 2018 to 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains one table.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some cells refer to notes which can be found on the notes worksheet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back to table of contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table HC4a: Percentage of dwellings with disrepair to critical elements by dwelling age and location, 2018 to 2023 [note 1] [note 2]",,,,,,,,,,"Table HC4b: Number (in thousands) of dwellings with disrepair to critical elements by dwelling age and location, 2018 to 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type of Disrepair,Dwelling Characteristics,Category,2018,2019,2020,2021,2022,2023,,Type of Disrepair,Dwelling Characteristics,Category,2018,2019,2020,2021,2022,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any disrepair to critical elements,Dwelling Age,pre-1919,73%,71%,[x],[x],71%,62%,,Any disrepair to critical elements,Dwelling Age,pre-1919, 342 , 337 , [x] , [x] , 328 , 289 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any disrepair to critical elements,Dwelling Age,1919-1944,73%,64%,[x],[x],65%,57%,,Any disrepair to critical elements,Dwelling Age,1919-1944, 204 , 173 , [x] , [x] , 182 , 145 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any disrepair to critical elements,Dwelling Age,1945-1964,67%,59%,[x],[x],55%,55%,,Any disrepair to critical elements,Dwelling Age,1945-1964, 351 , 304 , [x] , [x] , 284 , 287 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any disrepair to critical elements,Dwelling Age,1965-1982,52%,48%,[x],[x],42%,46%,,Any disrepair to critical elements,Dwelling Age,1965-1982, 271 , 260 , [x] , [x] , 235 , 251 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any disrepair to critical elements,Dwelling Age,post-1982,35%,31%,[x],[x],28%,24%,,Any disrepair to critical elements,Dwelling Age,post-1982, 230 , 209 , [x] , [x] , 193 , 179 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any disrepair to critical elements,Urban-Rural Indicator [note 4],Urban,57%,52%,[x],[x],48%,46%,,Any disrepair to critical elements,Urban-Rural Indicator [note 4],Urban," 1,182 "," 1,066 ", [x] , [x] ," 1,018 ", 965 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any disrepair to critical elements,Urban-Rural Indicator [note 4],Rural,54%,53%,[x],[x],50%,45%,,Any disrepair to critical elements,Urban-Rural Indicator [note 4],Rural, 216 , 218 , [x] , [x] , 205 , 186 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any disrepair to critical elements,All dwellings,All dwellings,57%,52%,[x],[x],49%,45%,,Any disrepair to critical elements,All dwellings,All dwellings," 1,398 "," 1,284 ", [x] , [x] ," 1,222 "," 1,151 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any disrepair to critical elements and any urgent disrepair,Dwelling Age,pre-1919,40%,36%,[x],[x],32%,31%,,Any disrepair to critical elements and any urgent disrepair,Dwelling Age,pre-1919, 184 , 173 , [x] , [x] , 149 , 144 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any disrepair to critical elements and any urgent disrepair,Dwelling Age,1919-1944,35%,30%,[x],[x],30%,25%,,Any disrepair to critical elements and any urgent disrepair,Dwelling Age,1919-1944, 98 , 80 , [x] , [x] , 85 , 64 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any disrepair to critical elements and any urgent disrepair,Dwelling Age,1945-1964,34%,30%,[x],[x],28%,23%,,Any disrepair to critical elements and any urgent disrepair,Dwelling Age,1945-1964, 177 , 155 , [x] , [x] , 142 , 122 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any disrepair to critical elements and any urgent disrepair,Dwelling Age,1965-1982,21%,19%,[x],[x],20%,21%,,Any disrepair to critical elements and any urgent disrepair,Dwelling Age,1965-1982, 111 , 105 , [x] , [x] , 114 , 116 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any disrepair to critical elements and any urgent disrepair,Dwelling Age,post-1982,12%,11%,[x],[x],9%,8%,,Any disrepair to critical elements and any urgent disrepair,Dwelling Age,post-1982, 80 , 71 , [x] , [x] , 65 , 61 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any disrepair to critical elements and any urgent disrepair,Urban-Rural Indicator [note 4],Urban,27%,24%,[x],[x],22%,20%,,Any disrepair to critical elements and any urgent disrepair,Urban-Rural Indicator [note 4],Urban, 557 , 497 , [x] , [x] , 462 , 419 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any disrepair to critical elements and any urgent disrepair,Urban-Rural Indicator [note 4],Rural,23%,21%,[x],[x],22%,21%,,Any disrepair to critical elements and any urgent disrepair,Urban-Rural Indicator [note 4],Rural, 94 , 87 , [x] , [x] , 92 , 88 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any disrepair to critical elements and any urgent disrepair,All dwellings,All dwellings,26%,24%,[x],[x],22%,20%,,Any disrepair to critical elements and any urgent disrepair,All dwellings,All dwellings, 650 , 584 , [x] , [x] , 555 , 507 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any disrepair to critical elements, any urgent and any extensive disrepair ",Dwelling Age,pre-1919,7%,4%,[x],[x],5%,4%,,"Any disrepair to critical elements, any urgent and any extensive disrepair ",Dwelling Age,pre-1919, 34 , 20 , [x] , [x] , 25 , 18 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any disrepair to critical elements, any urgent and any extensive disrepair ",Dwelling Age,1919-1944,2%,4%,[x],[x],3%,2%,,"Any disrepair to critical elements, any urgent and any extensive disrepair ",Dwelling Age,1919-1944, 7 , 11 , [x] , [x] , 10 , 5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any disrepair to critical elements, any urgent and any extensive disrepair ",Dwelling Age,1945-1964,5%,3%,[x],[x],5%,3%,,"Any disrepair to critical elements, any urgent and any extensive disrepair ",Dwelling Age,1945-1964, 28 , 17 , [x] , [x] , 24 , 16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any disrepair to critical elements, any urgent and any extensive disrepair ",Dwelling Age,1965-1982,3%,4%,[x],[x],1%,3%,,"Any disrepair to critical elements, any urgent and any extensive disrepair ",Dwelling Age,1965-1982, 14 , 23 , [x] , [x] , 7 , 16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any disrepair to critical elements, any urgent and any extensive disrepair ",Dwelling Age,post-1982,1%,1%,[x],[x],[c],[c],,"Any disrepair to critical elements, any urgent and any extensive disrepair ",Dwelling Age,post-1982, 8 , 4 , [x] , [x] , [c] , 5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any disrepair to critical elements, any urgent and any extensive disrepair ",Urban-Rural Indicator [note 4],Urban,4%,3%,[x],[x],3%,2%,,"Any disrepair to critical elements, any urgent and any extensive disrepair ",Urban-Rural Indicator [note 4],Urban, 76 , 63 , [x] , [x] , 55 , 47 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any disrepair to critical elements, any urgent and any extensive disrepair ",Urban-Rural Indicator [note 4],Rural,4%,3%,[x],[x],3%,3%,,"Any disrepair to critical elements, any urgent and any extensive disrepair ",Urban-Rural Indicator [note 4],Rural, 15 , 12 , [x] , [x] , 12 , 13 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Any disrepair to critical elements, any urgent and any extensive disrepair ",All dwellings,All dwellings,4%,3%,[x],[x],3%,2%,,"Any disrepair to critical elements, any urgent and any extensive disrepair ",All dwellings,All dwellings, 91 , 76 , [x] , [x] , 67 , 61 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urgent disrepair to one or more critical elements,Dwelling Age,pre-1919,31%,32%,[x],[x],27%,28%,,Urgent disrepair to one or more critical elements,Dwelling Age,pre-1919, 143 , 151 , [x] , [x] , 125 , 130 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urgent disrepair to one or more critical elements,Dwelling Age,1919-1944,26%,24%,[x],[x],25%,20%,,Urgent disrepair to one or more critical elements,Dwelling Age,1919-1944, 73 , 65 , [x] , [x] , 70 , 51 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urgent disrepair to one or more critical elements,Dwelling Age,1945-1964,26%,22%,[x],[x],21%,18%,,Urgent disrepair to one or more critical elements,Dwelling Age,1945-1964, 136 , 112 , [x] , [x] , 109 , 92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urgent disrepair to one or more critical elements,Dwelling Age,1965-1982,15%,15%,[x],[x],16%,16%,,Urgent disrepair to one or more critical elements,Dwelling Age,1965-1982, 79 , 79 , [x] , [x] , 92 , 89 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urgent disrepair to one or more critical elements,Dwelling Age,post-1982,8%,9%,[x],[x],8%,6%,,Urgent disrepair to one or more critical elements,Dwelling Age,post-1982, 56 , 61 , [x] , [x] , 53 , 48 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urgent disrepair to one or more critical elements,Urban-Rural Indicator [note 4],Urban,20%,19%,[x],[x],17%,16%,,Urgent disrepair to one or more critical elements,Urban-Rural Indicator [note 4],Urban, 405 , 393 , [x] , [x] , 362 , 329 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urgent disrepair to one or more critical elements,Urban-Rural Indicator [note 4],Rural,20%,18%,[x],[x],20%,19%,,Urgent disrepair to one or more critical elements,Urban-Rural Indicator [note 4],Rural, 81 , 75 , [x] , [x] , 86 , 81 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urgent disrepair to one or more critical elements,All dwellings,All dwellings,20%,19%,[x],[x],18%,16%,,Urgent disrepair to one or more critical elements,All dwellings,All dwellings, 486 , 469 , [x] , [x] , 448 , 410 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extensive disrepair to one or more critical elements,Dwelling Age,pre-1919,3%,2%,[x],[x],3%,4%,,Extensive disrepair to one or more critical elements,Dwelling Age,pre-1919, 12 , 10 , [x] , [x] , 16 , 18 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extensive disrepair to one or more critical elements,Dwelling Age,1919-1944,[c],1%,[x],[x],2%,1%,,Extensive disrepair to one or more critical elements,Dwelling Age,1919-1944, 2 , 3 , [x] , [x] , 7 , 2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extensive disrepair to one or more critical elements,Dwelling Age,1945-1964,1%,2%,[x],[x],3%,2%,,Extensive disrepair to one or more critical elements,Dwelling Age,1945-1964, 5 , 8 , [x] , [x] , 18 , 11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extensive disrepair to one or more critical elements,Dwelling Age,1965-1982,1%,1%,[x],[x],3%,2%,,Extensive disrepair to one or more critical elements,Dwelling Age,1965-1982, 5 , 6 , [x] , [x] , 18 , 10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extensive disrepair to one or more critical elements,Dwelling Age,post-1982,1%,[w],[x],[x],2%,1%,,Extensive disrepair to one or more critical elements,Dwelling Age,post-1982, 4 , [w] , [x] , [x] , 12 , 5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extensive disrepair to one or more critical elements,Urban-Rural Indicator [note 4],Urban,1%,1%,[x],[x],3%,2%,,Extensive disrepair to one or more critical elements,Urban-Rural Indicator [note 4],Urban, 19 , 22 , [x] , [x] , 60 , 38 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extensive disrepair to one or more critical elements,Urban-Rural Indicator [note 4],Rural,3%,1%,[x],[x],2%,2%,,Extensive disrepair to one or more critical elements,Urban-Rural Indicator [note 4],Rural, 11 , 6 , [x] , [x] , 9 , 10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extensive disrepair to one or more critical elements,All dwellings,All dwellings,1%,1%,[x],[x],3%,2%,,Extensive disrepair to one or more critical elements,All dwellings,All dwellings, 30 , 28 , [x] , [x] , 70 , 47 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
>>>>>>> a88732c399431e9b684a6e02de83638eef2a8ee4
